,nombre,precio,stock
0,ROLLO ILFORD FP4 125 35mm - 36 exp. BLANCO Y...,$7.200 CLP,TRUE
1,ILFORD HP5 400 PLUS 35mm -...,$7.500 CLP,TRUE
2,35mm ILFORD DELTA 3200 BLANCO Y NEGRO 36...,$9.700 CLP,FALSE
3,ROLLO ILFORD ORTHO PLUS 35mm - 36 exp. BLANCO Y...,$11.000 CLP,TRUE
4,35mm ILFORD XP2 SUPER 400 BLANCO Y NEGRO...,$8.600 CLP,TRUE
5,35mm ILFORD DELTA 100 BLANCO Y NEGRO 36...,$9.500 CLP,TRUE
6,35mm ILFORD DELTA 400 BLANCO Y NEGRO 36...,$9.500 CLP,TRUE
7,ILFORD PANF PLUS 50 - 35mm...,$8.600 CLP,TRUE
8,FOTOGRﾃ：ICA BLANCO Y NEGRO 35MM PAN 100 -...,$6.000 CLP,TRUE
9,FOTOGRﾃ：ICA BLANCO Y NEGRO 35MM PAN 400 -...,$6.000 CLP,FALSE
10,BLANCO Y NEGRO 35MM KODAK TMAX 100...,$11.000 CLP,TRUE
11,FOTOGRﾃ：ICA BLANCO Y NEGRO 35MM KODAK TMAX 400...,$11.500 CLP,TRUE
12,FOTOGRﾃ：ICA BLANCO Y NEGRO 35MM KODAK TX 400...,$11.500 CLP,TRUE
13,ROLLO  BLANCO Y NEGRO FOMAPAN 400 35mm - 36 EXP,$6.900 CLP,TRUE
14,ROLLO  BLANCO Y NEGRO FOMAPAN 200 35mm - 36 EXP,$6.200 CLP,TRUE
15,ROLLO  BLANCO Y NEGRO FOMAPAN 100 35mm - 36 EXP,$6.500 CLP,TRUE
